Galaxy,Other_ID,RA_hr,DEC_deg,Type,D_Mpc,D_Mpc+-,Method,A_V,M_V^T,M_V^T+-,M_K,M_K+-,N(GC),N(GC)+-,Source,sig_e_km/s,sig_e_km/s+-,R_e_kpc,R_e_kpc+-,lg_M_d_M_sun,lg_M_d_M_sun+-,lg_M_G_M_sun,lg_M_G_M_sun+-,lg_M_B_M_sun,lg_M_B_M_sun+,lg_M_B_M_sun-
NGC4551,VCC-1630,12.5938813,12.2639737,E,16.18,0.56,SBF,0.128,-19.15,0.2,-22.187,0.102,47,11,77,106.8,2.2,1.24,0.04,10.12,0.019,7.01,0.09,nd,nd,nd
NGC4552,VCC-1632/M89,12.5944024,12.5561149,E,15.89,0.55,SBF,0.136,-20.39,0.2,-24.292,0.103,1100,200,77,252.5,3.3,3.7,0.13,11.342,0.017,8.44,0.07,8.68,0.04,0.05
NGC4565,nid,12.6057747,25.987185,Sb,17.46,1.42,SBF,0.051,-21.68,0.27,-25.156,0.101,204,60,39,136,6.3,7.32,0.6,11.1,0.043,7.79,0.11,nd,nd,nd
VCC-1661,nid,12.6068829,10.3846685,E,15.85,1.27,SBF,0.055,-15.81,0.2,nd,nd,10.2,4.7,77,nd,nd,1.52,0.12,nd,nd,6.19,0.16,nd,nd,nd
NGC4564,VCC-1664,12.607493,11.4393999,E,15.87,0.53,SBF,0.116,-20,0.2,-23.078,0.102,213,31,77,162,8,1.78,0.06,10.638,0.032,7.71,0.06,7.92,0.1,0.14
NGC4570,VCC-1692,12.6148409,7.2466966,S0,17.12,0.57,SBF,0.073,-20.34,0.2,-23.483,0.101,139,23,77,187.9,8.5,1.92,0.06,10.801,0.03,7.54,0.07,nd,nd,nd
IC3586,VCC-1695,12.6152228,12.5200387,S0-a,16.54,0.62,SBF,0.123,-17.49,0.2,-18.975,0.129,14.4,5.7,77,nd,nd,2.17,0.08,nd,nd,6.41,0.14,nd,nd,nd
NGC4589,nid,12.6236194,74.1918611,E2,21.98,2.34,SBF,0.093,-21.07,0.28,-23.962,0.103,1052,162,60,224.1,5.3,4.12,0.44,11.284,0.046,8.46,0.06,nd,nd,nd
VCC-1714,nid,12.62378,14.3134,dE4N,16,2,Virgo,0.08,-13.2,0.2,nd,nd,0,4.5,67,nd,nd,nd,nd,nd,nd,6.19,0.16,nd,nd,nd
NGC4578,VCC-1720,12.62515,9.5551111,S0,16.35,0.54,SBF,0.07,-19.62,0.2,-22.671,0.105,62,13,77,120.3,9.6,2.46,0.08,10.519,0.048,7.15,0.08,nd,nd,nd
IC3602,VCC-1743,12.6352499,10.0824523,E,17.65,0.78,SBF,0.055,-16.33,0.2,-18.232,0.237,9.8,6.4,77,27,11,1.79,0.08,9.084,0.198,6.19,0.22,nd,nd,nd
IC3612,VCC-1779,12.6512929,14.7303293,S0-a,14.73,0.94,SBF,0.078,-16.9,0.2,-17.28,0.194,2.1,3.7,77,nd,nd,1.43,0.09,nd,nd,5.55,0.44,nd,nd,nd
NGC4605,nid,12.6664972,61.6090333,SBd,5.47,0.5,TRGB,0.039,-18.41,0.2,-20.932,0.104,22,7,37,nd,nd,1.18,0.1,nd,nd,6.64,0.12,nd,nd,nd
NGC4594,M104,12.6665134,-11.6230104,Sa,9.77,0.84,SBF,0.17,-22.12,0.2,-25.006,0.101,1900,200,86/93,240,12,3.41,0.29,11.262,0.046,8.78,0.04,8.72,0.3,0.57
IC3633,VCC-1826,12.6697924,9.8961063,E,16.24,0.66,SBF,0.047,-16.03,0.2,-17.562,0.226,4.5,3.9,77,22.3,2.2,0.6,0.02,8.443,0.059,5.84,0.27,nd,nd,nd
IC3635,VCC-1828,12.6703765,12.8748719,Sc,16.86,0.68,SBF,0.101,-16.78,0.2,-18.402,0.158,20.4,5.8,77,nd,nd,1.55,0.06,nd,nd,6.53,0.11,nd,nd,nd
VCC-1833,nid,12.6721322,15.935216,E,16.24,0.56,SBF,0.102,-17.13,0.2,-19.779,0.111,18.1,5.5,77,nd,nd,0.69,0.02,nd,nd,6.49,0.12,nd,nd,nd
IC3651,nid,12.6813645,26.7280487,S0,71.7,5,Hubble,0.042,-21,0.2,-23.85,0.109,2700,780,65,183,28.9,1.18,0.1,10.565,0.093,8.87,0.11,nd,nd,nd
IC3647,VCC-1857,12.6814207,10.4761071,Irr,16,2,Virgo,0.071,-16.64,0.2,nd,nd,10.8,5.9,77,nd,nd,2.33,0.21,nd,nd,6.25,0.19,nd,nd,nd
IC3652,VCC-1861,12.6829356,11.1844418,E,16.1,0.59,SBF,0.081,-17.6,0.2,-19.995,0.162,37.6,7.4,77,nd,nd,1.64,0.06,nd,nd,6.83,0.08,nd,nd,nd
IC3653,VCC-1871,12.6876997,11.3872355,E,15.49,0.55,SBF,0.085,-17.31,0.2,-20.383,0.112,10.4,5,77,49,2.9,0.55,0.02,9.088,0.038,6.26,0.17,nd,nd,nd
VCC-1876,nid,12.689043,14.700656,dE5N,16,2,Virgo,0.085,-16.8,0.2,999999,99999,25.9,7.4,67,26.7,1.3,1.39,0.07,8.964,0.036,6.64,0.11,nd,nd,nd
NGC4612,VCC-1883,12.6924278,7.3148511,S0,16.53,0.53,SBF,0.069,-21.12,0.2,-22.537,0.103,83,25,77,62.6,2.7,2.3,0.07,9.924,0.029,7.36,0.11,nd,nd,nd
VCC-1886,nid,12.6942766,12.2473845,E,15.74,1.39,SBF,0.086,-16.25,0.2,nd,nd,3.9,2.6,77,nd,nd,1.27,0.11,nd,nd,5.79,0.22,nd,nd,nd
VCC-1895,UGC-7854,12.6977735,9.4029063,E,15.86,0.51,SBF,0.047,-16.6,0.2,-18.701,0.174,6.3,4.3,77,nd,nd,1.16,0.04,nd,nd,6.01,0.23,nd,nd,nd
NGC4621,VCC-1903/M59,12.7006372,11.6473083,E5,14.85,0.5,SBF,0.11,-21.34,0.2,-24.125,0.103,803,355,77,225.1,3.2,4.57,0.15,11.333,0.016,8.36,0.16,8.6,0.06,0.07
IC809,VCC-1910,12.7024073,11.7543196,E,16.05,0.55,SBF,0.083,-17.39,0.2,-20.429,0.13,48.7,8.4,77,nd,nd,1.97,0.07,nd,nd,6.94,0.07,nd,nd,nd
NGC4623,VCC-1913,12.7029778,7.6769243,SB0,17.31,0.58,SBF,0.061,-19.94,0.2,-21.732,0.107,71,14,77,85.6,15.1,2.16,0.07,10.169,0.097,7.23,0.08,nd,nd,nd
NGC4638,VCC-1938,12.713175,11.4424444,S0,17.4,0.56,SBF,0.084,-20.1,0.2,-23.003,0.102,59.8,9.2,90,121.9,4,1.71,0.05,10.374,0.024,7.16,0.06,nd,nd,nd
NGC4636,nid,12.7137983,2.6876184,E0,14.66,0.9,SBF,0.092,-21.43,0.2,-24.419,0.106,4200,120,23,203.1,3.5,6.71,0.41,11.411,0.028,9.09,0.01,0,8.8,0
VCC-1948,nid,12.7161205,10.6819293,E,16.9,1.28,SBF,0.066,-16.06,0.2,nd,nd,2.5,3,77,nd,nd,nd,nd,nd,nd,5.59,0.34,nd,nd,nd
NGC4649,VCC-1978/M60,12.727789,11.5526723,E2,17.09,0.61,SBF,0.088,-22.41,0.2,-25.434,0.102,4000,500,77,385,19,7.12,0.25,11.992,0.033,9.13,0.05,9.63,0.09,0.11
NGC4660,VCC-2000,12.7422139,11.1905278,E,14.97,0.48,SBF,0.109,-19.74,0.2,-22.682,0.101,205,28,77,188.5,3.4,1.07,0.03,10.548,0.017,7.68,0.06,nd,nd,nd
IC3735,VCC-2019,12.7556684,13.6928515,E,17.09,0.62,SBF,0.06,-17.36,0.2,-19.792,0.13,23.9,6.1,77,37,7,1.5,0.05,9.281,0.104,6.63,0.1,nd,nd,nd
NGC4673,nid,12.7596327,27.0607672,E,101.9,7.1,Hubble,0.04,-21.28,0.2,-25.176,0.103,750,290,65,231.7,5.2,nd,nd,nd,nd,8.33,0.14,nd,nd,nd
IC3773,VCC-2048,12.7875832,10.2035497,E,14.38,0.94,GCLF,0.088,-17.85,0.2,-19.87,0.122,17.2,5.4,77,62.2,11.7,1.32,0.09,9.678,0.105,6.51,0.12,nd,nd,nd
IC3779,VCC-2050,12.7890441,12.1665506,E,15.8,0.63,SBF,0.064,-16.36,0.2,-18.191,0.16,9.2,4.3,77,43,5,1.18,0.05,9.306,0.068,6.17,0.17,nd,nd,nd
NGC4697,nid,12.8099952,-5.800602,E6,12.01,0.78,SBF,0.101,-21.27,0.2,-24.042,0.104,229,70,54,177,8,4.19,0.27,11.087,0.038,7.81,0.12,8.28,0.08,0.1
NGC4754,VCC-2092,12.8715444,11.3136389,SB0,16.05,0.55,SBF,0.111,-20.53,0.2,-23.625,0.104,110,12,42a/77,186.4,3.2,2.26,0.1,10.864,0.021,7.45,0.04,nd,nd,nd
NGC4762,VCC-2095,12.8822015,11.2307746,SB0,23.88,2.5,GCLF,0.072,-21.7,0.24,-24.599,0.104,240,25,42a/77,147.1,10.3,10.44,1.09,11.323,0.058,7.86,0.04,nd,nd,nd
NGC4816,nid,12.9367011,27.7454349,E/S0,102.7,7.2,Hubble,0.03,-22.25,0.35,-25.349,0.108,6100,1400,65,244.5,8.1,10.82,0.76,11.779,0.035,9.3,0.09,nd,nd,nd
A1644-1,PGC44257,12.9532222,-17.4094444,E/S0,208,14.6,Hubble,0.194,-23.7,0.2,-26.957,0.116,17700,4600,6,nd,nd,nd,nd,nd,nd,9.85,0.1,nd,nd,nd
NGC4839,nid,12.9567653,27.4976006,E,109.1,7.6,Hubble,0.032,-23.16,0.2,-25.994,0.106,6500,2000,53,284.8,4.7,19.36,1.35,12.165,0.031,9.38,0.12,nd,nd,nd
NGC4840,nid,12.9591072,27.6102687,E,90.8,6.4,Hubble,0.032,-21.12,0.28,-24.235,0.105,1290,620,65,238.1,6.1,3.03,0.2,11.204,0.032,8.56,0.17,nd,nd,nd
IC3959,nid,12.9856104,27.784217,E,105.1,7.4,Hubble,0.035,-20.99,0.2,-24.02,0.107,880,330,65,208,4.5,3.07,0.22,11.092,0.033,8.38,0.14,nd,nd,nd
PGC044560,MGC+5-31-063,12.9871855,28.0764001,E/S0,115.6,8.1,Hubble,0.032,-20.88,0.2,-23.084,0.131,2150,650,65,126,10.9,nd,nd,nd,nd,8.76,0.11,nd,nd,nd
IC3976,nid,12.9914916,27.8503408,E,101.9,7.1,Hubble,0.031,-20.53,0.2,-23.548,0.107,920,250,65,252,7.9,1.91,0.13,11.053,0.034,8.37,0.1,nd,nd,nd
NGC4874,nid,12.9932422,27.9593362,E/cD,106.4,7.5,Hubble,0.028,-23.48,0.26,-26.278,0.104,20000,2000,7/47/78,278.9,4.8,16.12,1.14,12.067,0.031,9.89,0.04,nd,nd,nd
NGC4881,nid,12.9993938,28.2464297,E,100.1,7,Hubble,0.036,-20.47,0.23,-24.615,0.107,295,89,47,199.6,3,5.43,0.38,11.304,0.031,7.88,0.11,nd,nd,nd
NGC4886,nid,13.0012407,27.987505,E,95.1,6.7,Hubble,0.031,-21.06,0.25,-26.487,0.102,1220,480,65,163.2,2.6,4.54,0.32,11.051,0.031,8.53,0.14,nd,nd,nd
IC4012,nid,13.0022101,28.0786343,E,107.7,7.5,Hubble,0.029,-20.41,0.2,-23.573,0.108,620,410,65,190.8,3.5,nd,nd,nd,nd,8.2,0.22,nd,nd,nd
NGC4889,nid,13.0022369,27.9770315,E4,96.6,6.8,Hubble,0.032,-23.47,0.2,-26.521,0.102,11000,2000,7/47/65,400.8,5.6,15.11,1.06,12.354,0.031,9.63,0.07,10.32,0.25,0.62
IC4021,nid,13.0040979,28.0413075,E,85.8,6,Hubble,0.029,-20.16,0.2,-22.893,0.11,160,159,65,171.9,5.8,1.47,0.1,10.607,0.035,7.59,0.3,nd,nd,nd
IC4026,nid,13.0061434,28.0469936,S0,120.9,8.5,Hubble,0.029,-21.01,0.2,-23.861,0.115,650,190,65,142.7,5.8,4.22,0.3,10.903,0.038,8.25,0.11,nd,nd,nd
